Map,rank,simple,heft
epigenomics-chameleon-hep-1seq-100k-001-1,100,900,0
epigenomics-chameleon-hep-1seq-100k-001-2,2,364,634
epigenomics-chameleon-hep-1seq-100k-001-4,0,294,706
epigenomics-chameleon-hep-1seq-100k-001-8,0,348,652
epigenomics-chameleon-hep-1seq-100k-001-16,0,294,706
epigenomics-chameleon-hep-6seq-100k-001-1,1,999,0
epigenomics-chameleon-hep-6seq-100k-001-2,2,26,972
epigenomics-chameleon-hep-6seq-100k-001-4,0,22,978
epigenomics-chameleon-hep-6seq-100k-001-8,0,11,989
epigenomics-chameleon-hep-6seq-100k-001-16,0,7,993
epigenomics-chameleon-ilmn-1seq-100k-001-1,153,847,0
epigenomics-chameleon-ilmn-1seq-100k-001-2,1,88,911
epigenomics-chameleon-ilmn-1seq-100k-001-4,0,33,967
epigenomics-chameleon-ilmn-1seq-100k-001-8,0,20,980
epigenomics-chameleon-ilmn-1seq-100k-001-16,0,11,989
epigenomics-chameleon-ilmn-6seq-100k-001-1,12,988,0
epigenomics-chameleon-ilmn-6seq-100k-001-2,0,45,955
epigenomics-chameleon-ilmn-6seq-100k-001-4,0,14,986
epigenomics-chameleon-ilmn-6seq-100k-001-8,0,17,983
epigenomics-chameleon-ilmn-6seq-100k-001-16,0,8,992
montage-chameleon-2mass-01d-001-1,11,989,0
montage-chameleon-2mass-01d-001-2,49,234,717
montage-chameleon-2mass-01d-001-4,10,56,934
montage-chameleon-2mass-01d-001-8,4,32,964
montage-chameleon-2mass-01d-001-16,0,40,960
montage-chameleon-2mass-005d-001-1,61,939,0
montage-chameleon-2mass-005d-001-2,68,307,625
montage-chameleon-2mass-005d-001-4,25,135,840
montage-chameleon-2mass-005d-001-8,1,68,931
montage-chameleon-2mass-005d-001-16,0,123,877
montage-chameleon-dss-10d-001-1,84,916,0
montage-chameleon-dss-10d-001-2,61,279,660
montage-chameleon-dss-10d-001-4,55,75,870
montage-chameleon-dss-10d-001-8,35,25,940
montage-chameleon-dss-10d-001-16,12,3,985
montage-chameleon-dss-125d-001-1,100,900,0
montage-chameleon-dss-125d-001-2,23,132,845
montage-chameleon-dss-125d-001-4,28,59,913
montage-chameleon-dss-125d-001-8,45,39,916
montage-chameleon-dss-125d-001-16,25,7,968
seismology-chameleon-100p-001-1,141,859,0
seismology-chameleon-100p-001-2,39,96,865
seismology-chameleon-100p-001-4,4,38,958
seismology-chameleon-100p-001-8,4,38,958
seismology-chameleon-100p-001-16,18,24,958
seismology-chameleon-500p-001-1,0,1000,0
seismology-chameleon-500p-001-2,13,46,941
seismology-chameleon-500p-001-4,0,15,985
seismology-chameleon-500p-001-8,1,8,991
seismology-chameleon-500p-001-16,1,11,988
seismology-chameleon-700p-001-1,83,917,0
seismology-chameleon-700p-001-2,9,41,950
seismology-chameleon-700p-001-4,1,14,985
seismology-chameleon-700p-001-8,0,6,994
seismology-chameleon-700p-001-16,0,10,990
seismology-chameleon-1000p-001-1,24,976,0
seismology-chameleon-1000p-001-2,6,37,957
seismology-chameleon-1000p-001-4,1,13,986
seismology-chameleon-1000p-001-8,0,9,991
seismology-chameleon-1000p-001-16,0,10,990
soykb-chameleon-10fastq-10ch-001-1,35,965,0
soykb-chameleon-10fastq-10ch-001-2,0,357,643
soykb-chameleon-10fastq-10ch-001-4,3,274,723
soykb-chameleon-10fastq-10ch-001-8,0,199,801
soykb-chameleon-10fastq-10ch-001-16,2,255,743
soykb-chameleon-10fastq-20ch-001-1,86,914,0
soykb-chameleon-10fastq-20ch-001-2,0,326,674
soykb-chameleon-10fastq-20ch-001-4,3,218,779
soykb-chameleon-10fastq-20ch-001-8,3,174,823
soykb-chameleon-10fastq-20ch-001-16,0,143,857
soykb-chameleon-30fastq-10ch-001-1,50,950,0
soykb-chameleon-30fastq-10ch-001-2,0,214,786
soykb-chameleon-30fastq-10ch-001-4,0,120,880
soykb-chameleon-30fastq-10ch-001-8,6,56,938
soykb-chameleon-30fastq-10ch-001-16,7,69,924
soykb-chameleon-40fastq-20ch-001-1,126,874,0
soykb-chameleon-40fastq-20ch-001-2,0,159,841
soykb-chameleon-40fastq-20ch-001-4,0,78,922
soykb-chameleon-40fastq-20ch-001-8,1,72,927
soykb-chameleon-40fastq-20ch-001-16,4,19,977
srasearch-chameleon-10a-005-1,20,980,0
srasearch-chameleon-10a-005-2,74,265,661
srasearch-chameleon-10a-005-4,29,129,842
srasearch-chameleon-10a-005-8,49,164,787
srasearch-chameleon-10a-005-16,12,283,705
srasearch-chameleon-20a-003-1,104,896,0
srasearch-chameleon-20a-003-2,33,176,791
srasearch-chameleon-20a-003-4,27,78,895
srasearch-chameleon-20a-003-8,39,102,859
srasearch-chameleon-20a-003-16,83,430,487
srasearch-chameleon-40a-003-1,94,906,0
srasearch-chameleon-40a-003-2,24,151,825
srasearch-chameleon-40a-003-4,10,65,925
srasearch-chameleon-40a-003-8,2,55,943
srasearch-chameleon-40a-003-16,11,60,929
srasearch-chameleon-50a-003-1,106,894,0
srasearch-chameleon-50a-003-2,35,172,793
srasearch-chameleon-50a-003-4,6,67,927
srasearch-chameleon-50a-003-8,6,31,963
srasearch-chameleon-50a-003-16,18,83,899
